Room,Day,Class No,Start Time,End Time,Weeks,lesson_type,size,module_code,module_entities,relationships
AS1-0208,Monday,W09,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Monday,W12,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Monday,W03,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Friday,W56,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Friday,W48,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Friday,W50,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Friday,W53,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Wednesday,W31,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Wednesday,W29,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Wednesday,W34,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Wednesday,D20,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0208,Thursday,W37,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Thursday,W39,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Thursday,W45,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Thursday,W42,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0208,Thursday,D19,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0208,Thursday,E19,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0210,Friday,W57,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Friday,W49,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Friday,W51,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Friday,W54,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Monday,W02,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Monday,W04,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Monday,W11,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Monday,W13,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Monday,W07,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Tuesday,W21,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Tuesday,W16,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Tuesday,W27,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Tuesday,W24,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Tuesday,W18,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Wednesday,W32,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Wednesday,W36,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Wednesday,W30,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Thursday,W38,800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Thursday,W43,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Thursday,W40,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Thursday,W46,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0210,Thursday,E25,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS4-0118,Tuesday,W19,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS4-0118,Tuesday,1,1200,1500,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EC4342/​EC4342HM,"[('EC4342/\u200bEC4342HM', 'MODULE')]",[]
AS4-0118,Tuesday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EN4232/​EN4232HM,"[('EN4232/\u200bEN4232HM', 'MODULE')]",[]
AS4-0118,Monday,1,1800,2100,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,40,TPS5212,"[('TPS5212', 'MODULE')]",[]
AS4-0118,Monday,1,1000,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,40,AN2101,"[('AN2101', 'MODULE')]",[]
AS4-0118,Monday,E1,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,SN2213,"[('SN2213', 'MODULE')]",[]
AS4-0118,Monday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAR1201,"[('LAR1201', 'MODULE')]",[]
AS4-0118,Monday,A1,1400,1600,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,16,LAJ3204,"[('LAJ3204', 'MODULE')]",[]
AS4-0118,Wednesday,1,1200,1500,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EL4255/​EL4255HM,"[('EL4255/\u200bEL4255HM', 'MODULE')]",[]
AS4-0118,Wednesday,1,900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4883B/​GL4883BHM,"[('GL4883B/\u200bGL4883BHM', 'MODULE')]",[]
AS4-0118,Friday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,PS4230/​PS4230HM,"[('PS4230/\u200bPS4230HM', 'MODULE')]",[]
AS4-0118,Friday,1,900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4881A/​GL4881AHM,"[('GL4881A/\u200bGL4881AHM', 'MODULE')]",[]
AS4-0118,Thursday,1,900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4882B/​GL4882BHM,"[('GL4882B/\u200bGL4882BHM', 'MODULE')]",[]
AS4-0118,Thursday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,8,SW4102/​SW4102HM,"[('SW4102/\u200bSW4102HM', 'MODULE')]",[]
AS4-0118,Thursday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,40,AN2205,"[('AN2205', 'MODULE')]",[]
AS4-0118,Thursday,1,1800,2000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAM3201,"[('LAM3201', 'MODULE')]",[]
AS1-0209,Monday,W10,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0209,Monday,E04,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,E03,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,E01,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,E02,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,D06,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,D04,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,D03,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Monday,D05,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Thursday,W47,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0209,Thursday,E16,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Thursday,E17,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Thursday,E24,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Thursday,E19,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Wednesday,W35,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0209,Wednesday,E14,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Wednesday,D18,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Wednesday,E12,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Wednesday,D16,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Friday,E31,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Friday,E27,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Friday,E28,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Friday,E30,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Friday,E34,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,E06,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D10,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D08,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D12,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,E11,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,E08,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,E05,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D07,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D13,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,D14,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0209,Tuesday,E10,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000,"[('HSS1000', 'MODULE')]",[]
AS1-0211,Wednesday,W22,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000,"[('HSH1000', 'MODULE')]",[]
AS1-0211,Wednesday,E14,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Wednesday,E13,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Wednesday,D14,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Wednesday,E12,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Wednesday,D12,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Wednesday,D13,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,E2,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,E4,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,E1,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,D3,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,D2,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,D1,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,E3,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,D4,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Monday,1,1400,1600,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,5,LAR4201/​LAR4201HM,"[('LAR4201/\u200bLAR4201HM', 'MODULE')]",[]
AS1-0211,Tuesday,E11,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,E6,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,E8,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,E7,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D7,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D9,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D5,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D11,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,E9,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D6,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,D8,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Tuesday,E5,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E15,800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E17,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E16,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D21,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D15,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D20,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D16,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E20,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E21,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D18,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,E18,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Thursday,D17,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Friday,D26,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Friday,D24,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
AS1-0211,Friday,D22,800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000,"[('HSA1000', 'MODULE')]",[]
