module_entities,properties
{'EC4342/\u200bEC4342HM'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1500}"
{'EN4232/\u200bEN4232HM'},"{'Day': 'Tuesday', 'Start Time': 1500, 'End Time': 1800}"
{'TPS5212'},"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2100}"
{'AN2101'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'SN2213'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'LAR1201'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'LAJ3204'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'EL4255/\u200bEL4255HM'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1500}"
{'GL4883B/\u200bGL4883BHM'},"{'Day': 'Wednesday', 'Start Time': 900, 'End Time': 1200}"
{'PS4230/\u200bPS4230HM'},"{'Day': 'Friday', 'Start Time': 1500, 'End Time': 1800}"
{'GL4881A/\u200bGL4881AHM'},"{'Day': 'Friday', 'Start Time': 900, 'End Time': 1200}"
{'GL4882B/\u200bGL4882BHM'},"{'Day': 'Thursday', 'Start Time': 900, 'End Time': 1200}"
{'SW4102/\u200bSW4102HM'},"{'Day': 'Thursday', 'Start Time': 1500, 'End Time': 1800}"
{'AN2205'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'LAM3201'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2000}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2000}"
{'LAR4201/\u200bLAR4201HM'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'LAJ1201'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
{'LAJ1201'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'LAR1201'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'FAS1101'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'LAR1201'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'FAS1101'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'FAS1101'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'FAS1101'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000/\u200bCS2105'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'NM1101E/\u200bGL2104'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'NM3217'},"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
{'NM2104'},"{'Day': 'Monday', 'Start Time': 900, 'End Time': 1000}"
{'NM3243'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1300}"
{'GEN2000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'BME5042/\u200bBME5051/\u200bBME5040'},"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
{'BME5042/\u200bBME5051/\u200bBME5040'},"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
{'BME5501'},"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
{'BME5105'},"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
{'GEI1000'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'GEI1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'IT1244'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'SA4104'},"{'Day': 'Monday', 'Start Time': 900, 'End Time': 1700}"
{'EBA5006'},"{'Day': 'Monday', 'Start Time': 900, 'End Time': 1700}"
{'GEH1070/\u200bGEC1044/\u200bEC3102/\u200bGET1026/\u200bGEX1012/\u200bHSA1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'NM2103/\u200bCS1101S/\u200bCS2040'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'GES1007/\u200bGESS1005'},"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
{'BME5042/\u200bBME5051'},"{'Day': 'Wednesday', 'Start Time': 830, 'End Time': 1830}"
{'BME5046/\u200bBME5054'},"{'Day': 'Wednesday', 'Start Time': 830, 'End Time': 1830}"
{'BME5501'},"{'Day': 'Wednesday', 'Start Time': 830, 'End Time': 1830}"
{'GEI1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'GEI1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'IT3010'},"{'Day': 'Wednesday', 'Start Time': 1400, 'End Time': 1500}"
{'SA4104'},"{'Day': 'Wednesday', 'Start Time': 900, 'End Time': 1700}"
{'EBA5006'},"{'Day': 'Wednesday', 'Start Time': 900, 'End Time': 1700}"
{'NM2101/\u200bEL1101E/\u200bGES1008/\u200bGESS1006/\u200bCS3230'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'EC2102/\u200bCS2100'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'GL4101/\u200bGL4101HM'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'PLS8002A'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'PLS8002B'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'BME5042/\u200bBME5051/\u200bBME5040/\u200bBME5054'},"{'Day': 'Tuesday', 'Start Time': 830, 'End Time': 1830}"
{'BME5042/\u200bBME5051/\u200bBME5040/\u200bBME5054'},"{'Day': 'Tuesday', 'Start Time': 830, 'End Time': 1830}"
{'BME5501'},"{'Day': 'Tuesday', 'Start Time': 830, 'End Time': 1830}"
{'BME5105'},"{'Day': 'Tuesday', 'Start Time': 830, 'End Time': 1830}"
{'GEI1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'GEI1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'GEI1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'SA4104'},"{'Day': 'Tuesday', 'Start Time': 900, 'End Time': 1700}"
{'EBA5006'},"{'Day': 'Tuesday', 'Start Time': 900, 'End Time': 1700}"
{'NM2209/\u200bGEH1009/\u200bGEX1000/\u200bCS1231S'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HS2903/\u200bEC3333'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'EC3303/\u200bGES1003/\u200bGESS1001'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'PS1101E'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'BME5042/\u200bBME5051'},"{'Day': 'Thursday', 'Start Time': 830, 'End Time': 1830}"
{'BME5046/\u200bBME5054'},"{'Day': 'Thursday', 'Start Time': 830, 'End Time': 1830}"
{'BPM1705'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 1930}"
{'CS2040'},"{'Day': 'Thursday', 'Start Time': 900, 'End Time': 1000}"
{'GEI1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'GEI1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'GEI1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'GEI1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'IT2900'},"{'Day': 'Thursday', 'Start Time': 1900, 'End Time': 2100}"
{'IT3010'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1300}"
{'IT3010'},"{'Day': 'Thursday', 'Start Time': 1100, 'End Time': 1200}"
{'HLE5101'},"{'Day': 'Thursday', 'Start Time': 1830, 'End Time': 2000}"
{'HLE5102'},"{'Day': 'Thursday', 'Start Time': 1830, 'End Time': 2000}"
{'SA4104/\u200bSA4106'},"{'Day': 'Thursday', 'Start Time': 900, 'End Time': 1700}"
{'EBA5006'},"{'Day': 'Thursday', 'Start Time': 900, 'End Time': 1700}"
{'SA4105C'},"{'Day': 'Thursday', 'Start Time': 1830, 'End Time': 2200}"
{'GET1008/\u200bGEX1005'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1100}"
{'EC2104'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'GEH1077/\u200bGEC1030'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'GL1101E'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'SC1101E/\u200bCS1101S'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'BME5054'},"{'Day': 'Friday', 'Start Time': 830, 'End Time': 1830}"
{'CS1231S'},"{'Day': 'Friday', 'Start Time': 1500, 'End Time': 1600}"
{'GEI1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'GEI1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'GEI1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'GEI1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'IT3010'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1100}"
{'SA4104'},"{'Day': 'Friday', 'Start Time': 900, 'End Time': 1700}"
{'EBA5006'},"{'Day': 'Friday', 'Start Time': 900, 'End Time': 1700}"
{'BME5042'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1830}"
{'BME5046'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1230}"
{'BME5051'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1830}"
{'BME5051'},"{'Day': 'Saturday', 'Start Time': 1000, 'End Time': 1230}"
{'BME5040/\u200bBME5202'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1830}"
{'BME5054'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1230}"
{'BME5201'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1230}"
{'BME5501'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1230}"
{'BME5302'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1230}"
{'BME5105'},"{'Day': 'Saturday', 'Start Time': 830, 'End Time': 1830}"
{'EBA5006G'},"{'Day': 'Saturday', 'Start Time': 900, 'End Time': 1700}"
{'ISY5004G'},"{'Day': 'Saturday', 'Start Time': 900, 'End Time': 1700}"
{'ISY5003G'},"{'Day': 'Saturday', 'Start Time': 900, 'End Time': 1700}"
{'SWE5006G'},"{'Day': 'Saturday', 'Start Time': 900, 'End Time': 1700}"
{'HSS1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'ES1103'},"{'Day': 'Friday', 'Start Time': 1500, 'End Time': 1800}"
