Department,Male,Female,Total
Sub Total:,67,60,127
B.Tech. (Chemical Eng) 2,10,5,15
B.Tech. (Chemical Eng) 3,26,16,42
B.Tech. (Chemical Eng) 4,19,21,40
Sub Total:,55,42,97
B.Tech. (Civil Eng) 2,45,16,61
B.Tech. (Civil Eng) 3,17,7,24
B.Tech. (Civil Eng) 4,26,8,34
Sub Total:,88,31,119
B.Tech. (Cybersecurity) 2,2,1,3
B.Tech. (Cybersecurity) 3,17,3,20
B.Tech. (Cybersecurity) 4,13,6,19
Sub Total:,32,10,42
B.Tech. (Electronics) 2,45,14,59
B.Tech. (Electronics) 3,16,7,23
B.Tech. (Electronics) 4,29,12,41
Sub Total:,90,33,123
B.Tech. (Industrial & Management) 2,25,14,39
B.Tech. (Industrial & Management) 3,23,9,32
B.Tech. (Industrial & Management) 4,33,20,53
Sub Total:,81,43,124
B.Tech. (Mechanical) 2,13,4,17
B.Tech. (Mechanical) 3,24,5,29
B.Tech. (Mechanical) 4,59,7,66
Sub Total:,96,16,112
B.Tech. (Software Engineering) 1,20,8,28
B.Tech. (Software Engineering) 2,11,8,19
B.Tech. (Software Engineering) 3,27,9,36
B.Tech. (Software Engineering) 4,28,16,44
Sub Total:,86,41,127
B.Tech. (Supply Chain Management) 2,6,1,7
B.Tech. (Supply Chain Management) 3,19,8,27
B.Tech. (Supply Chain Management) 4,12,8,20
Sub Total:,37,17,54
Total for School of Continuing & Lifelong Edn:,632,293,925
Nursing Practice 2,24,149,173
Nursing Practice 3,17,96,113
Sub Total:,41,245,286
Total for Yong Loo Lin School of Medicine:,41,245,286
