Room,Day,Class No,Start Time,End Time,Weeks,lesson_type,size,module_code
AS1-0208,Tuesday,W15,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Monday,W01,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Monday,W06,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Monday,W09,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Monday,W12,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Monday,W03,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Friday,W56,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Friday,W48,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Friday,W50,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Friday,W53,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Wednesday,W31,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Wednesday,W29,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Wednesday,W34,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Wednesday,D20,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0208,Thursday,W37,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Thursday,W39,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Thursday,W45,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Thursday,W42,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Thursday,D19,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0208,Thursday,E19,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0210,Friday,W57,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Friday,W49,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Friday,W51,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Friday,W54,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Monday,W02,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Monday,W04,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Monday,W11,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Monday,W13,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Monday,W07,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Tuesday,W21,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Tuesday,W16,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Tuesday,W27,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Tuesday,W24,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Tuesday,W18,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Wednesday,W32,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Wednesday,W36,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Wednesday,W30,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Thursday,W38,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Thursday,W43,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Thursday,W40,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Thursday,W46,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0210,Thursday,E25,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS4-0118,Tuesday,W19,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS4-0118,Tuesday,1,1200,1500,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EC4342/​EC4342HM
AS4-0118,Tuesday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EN4232/​EN4232HM
AS4-0118,Monday,1,1800,2100,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,40,TPS5212
AS4-0118,Monday,1,1000,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,40,AN2101
AS4-0118,Monday,E1,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,SN2213
AS4-0118,Monday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAR1201
AS4-0118,Monday,A1,1400,1600,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,16,LAJ3204
AS4-0118,Wednesday,1,1200,1500,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,35,EL4255/​EL4255HM
AS4-0118,Wednesday,1,0900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4883B/​GL4883BHM
AS4-0118,Friday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,PS4230/​PS4230HM
AS4-0118,Friday,1,0900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4881A/​GL4881AHM
AS4-0118,Thursday,1,0900,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,10,GL4882B/​GL4882BHM
AS4-0118,Thursday,1,1500,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Seminar-Style Module Class,8,SW4102/​SW4102HM
AS4-0118,Thursday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,40,AN2205
AS4-0118,Thursday,1,1800,2000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAM3201
AS1-0209,Monday,W10,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0209,Monday,E04,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Monday,E03,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Monday,E01,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Monday,E02,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Monday,D06,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Monday,D04,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Monday,D03,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Monday,D05,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Thursday,W47,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0209,Thursday,E16,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Thursday,E17,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Thursday,E24,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Thursday,E19,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Wednesday,W35,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0209,Wednesday,E14,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Wednesday,D18,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Wednesday,E12,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Wednesday,D16,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Friday,E31,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Friday,E27,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Friday,E28,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Friday,E30,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Friday,E34,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Tuesday,E06,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Tuesday,D10,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,D08,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,D12,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,E11,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Tuesday,E08,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Tuesday,E05,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0209,Tuesday,D07,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,D13,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,D14,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0209,Tuesday,E10,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0211,Wednesday,W22,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0211,Wednesday,E14,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Wednesday,E13,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Wednesday,D14,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Wednesday,E12,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Wednesday,D12,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Wednesday,D13,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Monday,E2,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Monday,E4,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Monday,E1,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Monday,D3,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Monday,D2,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Monday,D1,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Monday,E3,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Monday,D4,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Monday,1,1400,1600,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,5,LAR4201/​LAR4201HM
AS1-0211,Tuesday,E11,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Tuesday,E6,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Tuesday,E8,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Tuesday,E7,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Tuesday,D7,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,D9,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,D5,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,D11,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,E9,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Tuesday,D6,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,D8,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Tuesday,E5,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,E15,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,E17,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,E16,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,D21,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Thursday,D15,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Thursday,D20,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Thursday,D16,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Thursday,E20,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,E21,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,D18,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Thursday,E18,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Thursday,D17,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,D26,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,D24,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,D22,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,D30,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,E26,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Friday,E22,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Friday,D28,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0211,Friday,E28,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Friday,E24,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0211,Friday,E30,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS3-0314,Friday,W55,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS3-0314,Friday,W52,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS3-0314,Friday,E36,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0314,Friday,E33,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0314,Thursday,E18,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0314,Thursday,E20,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0314,Thursday,E23,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0314,Thursday,B10,1800,2000,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial Type 2,16,LAJ1201
AS3-0314,Thursday,B7,1600,1800,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial Type 2,16,LAJ1201
AS3-0314,Tuesday,4,1800,2000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAR1201
AS3-0314,Tuesday,13,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Tuesday,12,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Tuesday,15,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Tuesday,14,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Monday,11,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Monday,10,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Monday,09,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0314,Wednesday,16,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Friday,E32,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0312,Friday,E35,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0312,Friday,20,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Friday,19,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Thursday,E22,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS3-0312,Thursday,1,1600,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,20,LAR1201
AS3-0312,Thursday,17,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Thursday,18,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Tuesday,06,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Tuesday,05,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Tuesday,04,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Tuesday,07,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Wednesday,08,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Monday,03,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Monday,02,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
AS3-0312,Monday,01,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,18,FAS1101
E-Learn_C,Monday,1,1400,1600,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,1140,HSS1000/​CS2105
E-Learn_C,Monday,1,1600,1800,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,400,NM1101E/​GL2104
E-Learn_C,Monday,1,0800,1000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,90,NM3217
E-Learn_C,Monday,1,0900,1000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,150,NM2104
E-Learn_C,Monday,1,1200,1300,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,110,NM3243
E-Learn_C,Monday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,200,GEN2000
E-Learn_C,Monday,L2,0830,1830,13,Sectional Teaching,60,BME5042/​BME5051/​BME5040
E-Learn_C,Monday,L3,0830,1830,2,Sectional Teaching,30,BME5042/​BME5051/​BME5040
E-Learn_C,Monday,L2,0830,1830,"start, end",Sectional Teaching,65,BME5501
E-Learn_C,Monday,L2,0830,1830,3,Sectional Teaching,65,BME5105
E-Learn_C,Monday,01,1400,1600,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,GEI1000
E-Learn_C,Monday,02,1600,1800,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,GEI1000
E-Learn_C,Monday,1,1000,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,250,IT1244
E-Learn_C,Monday,1,0900,1700,"start, end",Lecture,150,SA4104
E-Learn_C,Monday,F1,0900,1700,"8, 10, 11",Lecture,200,EBA5006
E-Learn_C,Wednesday,1,1200,1400,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,120,GEH1070/​GEC1044/​EC3102/​GET1026/​GEX1012/​HSA1000
E-Learn_C,Wednesday,1,1000,1200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,138,NM2103/​CS1101S/​CS2040
