O*NET-SOC Code,Title,Tech_Skill
11-1011.03,Chief Sustainability Officers,Business intelligence and data analysis software
11-1011.03,Chief Sustainability Officers,Video conferencing software
11-1011.03,Chief Sustainability Officers,Internet browser software
11-1021.00,General and Operations Managers,Desktop calculator
11-1021.00,General and Operations Managers,Mobile phones
11-1021.00,General and Operations Managers,Scanners
11-1021.00,General and Operations Managers,Magnetic stripe readers and encoders
11-1021.00,General and Operations Managers,Desktop computers
11-1021.00,General and Operations Managers,Digital cameras
11-1021.00,General and Operations Managers,Hand trucks or accessories
11-1021.00,General and Operations Managers,Temperature and humidity walk in environmental chamber
11-1021.00,General and Operations Managers,Notebook computers
11-1021.00,General and Operations Managers,Personal computers
11-1021.00,General and Operations Managers,Personal digital assistant PDAs or organizers
11-1021.00,General and Operations Managers,Photocopiers
11-1021.00,General and Operations Managers,Point of sale POS terminal
11-1021.00,General and Operations Managers,Surface testers
11-1021.00,General and Operations Managers,Spectrometers
11-1021.00,General and Operations Managers,Security cameras
11-1021.00,General and Operations Managers,High vacuum equipment
11-1021.00,General and Operations Managers,Customer relationship management CRM software
11-1021.00,General and Operations Managers,Document management software
11-1021.00,General and Operations Managers,Graphics or photo imaging software
11-1021.00,General and Operations Managers,Human resources software
11-1021.00,General and Operations Managers,Data base user interface and query software
11-1021.00,General and Operations Managers,Data base management system software
11-1021.00,General and Operations Managers,Video creation and editing software
11-1021.00,General and Operations Managers,Presentation software
11-1021.00,General and Operations Managers,Operating system software
11-1021.00,General and Operations Managers,Project management software
11-1021.00,General and Operations Managers,Content workflow software
11-1021.00,General and Operations Managers,Computer aided design CAD software
11-1021.00,General and Operations Managers,Calendar and scheduling software
11-1021.00,General and Operations Managers,Access software
11-1021.00,General and Operations Managers,Computer aided manufacturing CAM software
11-1021.00,General and Operations Managers,Transaction server software
11-1021.00,General and Operations Managers,Data mining software
11-1021.00,General and Operations Managers,Enterprise resource planning ERP software
11-1021.00,General and Operations Managers,Financial analysis software
11-1021.00,General and Operations Managers,Cloud-based data access and sharing software
11-1021.00,General and Operations Managers,Medical software
11-1021.00,General and Operations Managers,Desktop communications software
11-1021.00,General and Operations Managers,Word processing software
11-1021.00,General and Operations Managers,Enterprise application integration software
11-1021.00,General and Operations Managers,Web page creation and editing software
11-1021.00,General and Operations Managers,Accounting software
11-1021.00,General and Operations Managers,Geographic information system
11-1021.00,General and Operations Managers,Sales and marketing software
11-1021.00,General and Operations Managers,Instant messaging software
11-1021.00,General and Operations Managers,Business intelligence and data analysis software
11-1021.00,General and Operations Managers,Communications server software
11-1021.00,General and Operations Managers,Electronic mail software
11-1021.00,General and Operations Managers,Enterprise system management software
11-1021.00,General and Operations Managers,Analytical or scientific software
11-1021.00,General and Operations Managers,Facilities management software
11-1021.00,General and Operations Managers,Inventory management software
11-1021.00,General and Operations Managers,Time accounting software
11-1021.00,General and Operations Managers,Information retrieval or search software
11-1021.00,General and Operations Managers,Materials requirements planning logistics and supply chain software
11-1021.00,General and Operations Managers,Transaction security and virus protection software
11-1021.00,General and Operations Managers,Spreadsheet software
11-1021.00,General and Operations Managers,Internet browser software
11-1021.00,General and Operations Managers,Office suite software
11-1021.00,General and Operations Managers,Desktop publishing software
11-1021.00,General and Operations Managers,Process mapping and design software
11-1021.00,General and Operations Managers,Development environment software
11-1021.00,General and Operations Managers,Network monitoring software
11-1021.00,General and Operations Managers,Point of sale POS software
11-1021.00,General and Operations Managers,Object oriented data base management software
11-1021.00,General and Operations Managers,Configuration management software
11-1021.00,General and Operations Managers,Metadata management software
11-1021.00,General and Operations Managers,Object or component oriented development software
11-1021.00,General and Operations Managers,Data base reporting software
11-1021.00,General and Operations Managers,Cloud-based management software
11-1021.00,General and Operations Managers,Industrial control software
11-1021.00,General and Operations Managers,Backup or archival software
11-1031.00,Legislators,Laser printers
11-1031.00,Legislators,Notebook computers
11-1031.00,Legislators,Tablet computers
11-1031.00,Legislators,Document management software
11-1031.00,Legislators,Desktop publishing software
11-1031.00,Legislators,Presentation software
11-1031.00,Legislators,Word processing software
11-1031.00,Legislators,Spreadsheet software
11-1031.00,Legislators,Access software
11-1031.00,Legislators,Video conferencing software
11-1031.00,Legislators,Office suite software
11-1031.00,Legislators,Communications server software
11-1031.00,Legislators,Data base user interface and query software
11-1031.00,Legislators,Map creation software
11-1031.00,Legislators,Calendar and scheduling software
11-1031.00,Legislators,Electronic mail software
11-1031.00,Legislators,Cloud-based data access and sharing software
11-1031.00,Legislators,Development environment software
11-1031.00,Legislators,Internet browser software
11-1031.00,Legislators,Music or sound editing software
11-2011.00,Advertising and Promotions Managers,Scanners
11-2011.00,Advertising and Promotions Managers,Desktop computers
11-2011.00,Advertising and Promotions Managers,Portable data input terminals
11-2011.00,Advertising and Promotions Managers,Notebook computers
11-2011.00,Advertising and Promotions Managers,Laser fax machine
11-2011.00,Advertising and Promotions Managers,Special purpose telephones
11-2011.00,Advertising and Promotions Managers,Personal computers
11-2011.00,Advertising and Promotions Managers,Personal digital assistant PDAs or organizers
11-2011.00,Advertising and Promotions Managers,Photocopiers
11-2011.00,Advertising and Promotions Managers,Tablet computers
11-2011.00,Advertising and Promotions Managers,Business intelligence and data analysis software
11-2011.00,Advertising and Promotions Managers,Document management software
11-2011.00,Advertising and Promotions Managers,Video creation and editing software
11-2011.00,Advertising and Promotions Managers,Graphics or photo imaging software
11-2011.00,Advertising and Promotions Managers,Web page creation and editing software
11-2011.00,Advertising and Promotions Managers,Desktop publishing software
11-2011.00,Advertising and Promotions Managers,Data base reporting software
11-2011.00,Advertising and Promotions Managers,Enterprise resource planning ERP software
11-2011.00,Advertising and Promotions Managers,Analytical or scientific software
11-2011.00,Advertising and Promotions Managers,Customer relationship management CRM software
11-2011.00,Advertising and Promotions Managers,Data base user interface and query software
11-2011.00,Advertising and Promotions Managers,Web platform development software
11-2011.00,Advertising and Promotions Managers,Electronic mail software
11-2011.00,Advertising and Promotions Managers,Project management software
11-2011.00,Advertising and Promotions Managers,Enterprise application integration software
11-2011.00,Advertising and Promotions Managers,Sales and marketing software
11-2011.00,Advertising and Promotions Managers,Inventory management software
11-2011.00,Advertising and Promotions Managers,Spreadsheet software
11-2011.00,Advertising and Promotions Managers,Office suite software
11-2011.00,Advertising and Promotions Managers,Presentation software
11-2011.00,Advertising and Promotions Managers,Cloud-based data access and sharing software
11-2011.00,Advertising and Promotions Managers,Data base management system software
11-2011.00,Advertising and Promotions Managers,Operating system software
11-2011.00,Advertising and Promotions Managers,Word processing software
11-2011.00,Advertising and Promotions Managers,Information retrieval or search software
11-2011.00,Advertising and Promotions Managers,Calendar and scheduling software
11-2011.00,Advertising and Promotions Managers,Instant messaging software
11-2011.00,Advertising and Promotions Managers,Internet browser software
11-2021.00,Marketing Managers,Desktop computers
11-2021.00,Marketing Managers,Laser fax machine
11-2021.00,Marketing Managers,Notebook computers
11-2021.00,Marketing Managers,Personal computers
11-2021.00,Marketing Managers,Personal digital assistant PDAs or organizers
11-2021.00,Marketing Managers,Photocopiers
11-2021.00,Marketing Managers,Scanners
11-2021.00,Marketing Managers,Tablet computers
11-2021.00,Marketing Managers,Document management software
11-2021.00,Marketing Managers,Development environment software
11-2021.00,Marketing Managers,Video creation and editing software
11-2021.00,Marketing Managers,Graphics or photo imaging software
11-2021.00,Marketing Managers,Web page creation and editing software
11-2021.00,Marketing Managers,Desktop publishing software
11-2021.00,Marketing Managers,Data base user interface and query software
11-2021.00,Marketing Managers,Data base management system software
11-2021.00,Marketing Managers,Presentation software
11-2021.00,Marketing Managers,Operating system software
11-2021.00,Marketing Managers,Transaction server software
11-2021.00,Marketing Managers,Project management software
11-2021.00,Marketing Managers,Content workflow software
11-2021.00,Marketing Managers,Customer relationship management CRM software
11-2021.00,Marketing Managers,Web platform development software
11-2021.00,Marketing Managers,Access software
11-2021.00,Marketing Managers,Data base reporting software
11-2021.00,Marketing Managers,Financial analysis software
11-2021.00,Marketing Managers,Cloud-based data access and sharing software
11-2021.00,Marketing Managers,Desktop communications software
11-2021.00,Marketing Managers,Word processing software
11-2021.00,Marketing Managers,Enterprise application integration software
11-2021.00,Marketing Managers,Graphical user interface development software
11-2021.00,Marketing Managers,Accounting software
11-2021.00,Marketing Managers,Application server software
11-2021.00,Marketing Managers,Sales and marketing software
11-2021.00,Marketing Managers,Data mining software
11-2021.00,Marketing Managers,Video conferencing software
11-2021.00,Marketing Managers,Business intelligence and data analysis software
11-2021.00,Marketing Managers,Communications server software
11-2021.00,Marketing Managers,Electronic mail software
11-2021.00,Marketing Managers,Enterprise system management software
11-2021.00,Marketing Managers,Analytical or scientific software
11-2021.00,Marketing Managers,Object or component oriented development software
11-2021.00,Marketing Managers,Information retrieval or search software
11-2021.00,Marketing Managers,Network conferencing software
11-2021.00,Marketing Managers,Transaction security and virus protection software
11-2021.00,Marketing Managers,Enterprise resource planning ERP software
11-2021.00,Marketing Managers,Spreadsheet software
11-2021.00,Marketing Managers,Office suite software
11-2021.00,Marketing Managers,Process mapping and design software
11-2021.00,Marketing Managers,Multi-media educational software
11-2021.00,Marketing Managers,Expert system software
11-2021.00,Marketing Managers,Computer based training software
11-2021.00,Marketing Managers,Cloud-based management software
11-2021.00,Marketing Managers,Internet browser software
11-2022.00,Sales Managers,Desktop computers
11-2022.00,Sales Managers,Notebook computers
11-2022.00,Sales Managers,Personal computers
11-2022.00,Sales Managers,Scanners
11-2022.00,Sales Managers,Tablet computers
11-2022.00,Sales Managers,Customer relationship management CRM software
11-2022.00,Sales Managers,Document management software
11-2022.00,Sales Managers,Development environment software
11-2022.00,Sales Managers,Graphics or photo imaging software
11-2022.00,Sales Managers,Data base user interface and query software
11-2022.00,Sales Managers,Presentation software
11-2022.00,Sales Managers,Computer aided design CAD software
11-2022.00,Sales Managers,Calendar and scheduling software
11-2022.00,Sales Managers,Financial analysis software
11-2022.00,Sales Managers,Cloud-based data access and sharing software
11-2022.00,Sales Managers,Desktop communications software
11-2022.00,Sales Managers,Web page creation and editing software
11-2022.00,Sales Managers,Geographic information system
11-2022.00,Sales Managers,Sales and marketing software
11-2022.00,Sales Managers,Data mining software
11-2022.00,Sales Managers,Word processing software
11-2022.00,Sales Managers,Video conferencing software
11-2022.00,Sales Managers,Human resources software
11-2022.00,Sales Managers,Web platform development software
11-2022.00,Sales Managers,Business intelligence and data analysis software
11-2022.00,Sales Managers,Electronic mail software
11-2022.00,Sales Managers,Enterprise system management software
11-2022.00,Sales Managers,Analytical or scientific software
11-2022.00,Sales Managers,Inventory management software
11-2022.00,Sales Managers,Information retrieval or search software
11-2022.00,Sales Managers,Transaction security and virus protection software
11-2022.00,Sales Managers,Enterprise resource planning ERP software
11-2022.00,Sales Managers,Spreadsheet software
11-2022.00,Sales Managers,Office suite software
11-2022.00,Sales Managers,Project management software
11-2022.00,Sales Managers,Desktop publishing software
11-2022.00,Sales Managers,Process mapping and design software
11-2022.00,Sales Managers,Operating system software
11-2022.00,Sales Managers,Object or component oriented development software
11-2022.00,Sales Managers,Accounting software
11-2022.00,Sales Managers,Data base reporting software
11-2022.00,Sales Managers,Cloud-based management software
11-2022.00,Sales Managers,Data base management system software
11-2022.00,Sales Managers,Internet browser software
11-2022.00,Sales Managers,Video creation and editing software
11-2032.00,Public Relations Managers,Scanners
11-2032.00,Public Relations Managers,Desktop computers
11-2032.00,Public Relations Managers,Notebook computers
11-2032.00,Public Relations Managers,Special purpose telephones
11-2032.00,Public Relations Managers,Personal computers
11-2032.00,Public Relations Managers,Photocopiers
11-2032.00,Public Relations Managers,Document management software
11-2032.00,Public Relations Managers,Video creation and editing software
11-2032.00,Public Relations Managers,Graphics or photo imaging software
11-2032.00,Public Relations Managers,Desktop publishing software
11-2032.00,Public Relations Managers,Web page creation and editing software
11-2032.00,Public Relations Managers,Data base user interface and query software
11-2032.00,Public Relations Managers,Customer relationship management CRM software
11-2032.00,Public Relations Managers,Office suite software
11-2032.00,Public Relations Managers,Web platform development software
11-2032.00,Public Relations Managers,Accounting software
11-2032.00,Public Relations Managers,Sales and marketing software
11-2032.00,Public Relations Managers,Data mining software
11-2032.00,Public Relations Managers,Word processing software
11-2032.00,Public Relations Managers,Cloud-based data access and sharing software
11-2032.00,Public Relations Managers,Electronic mail software
11-2032.00,Public Relations Managers,Human resources software
11-2032.00,Public Relations Managers,Presentation software
11-2032.00,Public Relations Managers,Enterprise resource planning ERP software
11-2032.00,Public Relations Managers,Spreadsheet software
11-2032.00,Public Relations Managers,Project management software
11-2032.00,Public Relations Managers,Business intelligence and data analysis software
11-2032.00,Public Relations Managers,Data base management system software
11-2032.00,Public Relations Managers,Internet browser software
11-2032.00,Public Relations Managers,Video conferencing software
11-2033.00,Fundraising Managers,Scanners
11-2033.00,Fundraising Managers,Desktop computers
11-2033.00,Fundraising Managers,Notebook computers
11-2033.00,Fundraising Managers,Special purpose telephones
11-2033.00,Fundraising Managers,Personal computers
11-2033.00,Fundraising Managers,Photocopiers
11-2033.00,Fundraising Managers,Document management software
11-2033.00,Fundraising Managers,Video creation and editing software
11-2033.00,Fundraising Managers,Graphics or photo imaging software
11-2033.00,Fundraising Managers,Desktop publishing software
11-2033.00,Fundraising Managers,Web page creation and editing software
11-2033.00,Fundraising Managers,Data base user interface and query software
11-2033.00,Fundraising Managers,Customer relationship management CRM software
11-2033.00,Fundraising Managers,Office suite software
11-2033.00,Fundraising Managers,Web platform development software
11-2033.00,Fundraising Managers,Accounting software
11-2033.00,Fundraising Managers,Sales and marketing software
11-2033.00,Fundraising Managers,Data mining software
11-2033.00,Fundraising Managers,Word processing software
11-2033.00,Fundraising Managers,Cloud-based data access and sharing software
11-2033.00,Fundraising Managers,Electronic mail software
11-2033.00,Fundraising Managers,Human resources software
11-2033.00,Fundraising Managers,Presentation software
11-2033.00,Fundraising Managers,Enterprise resource planning ERP software
11-2033.00,Fundraising Managers,Spreadsheet software
11-2033.00,Fundraising Managers,Project management software
11-2033.00,Fundraising Managers,Business intelligence and data analysis software
11-2033.00,Fundraising Managers,Data base management system software
11-2033.00,Fundraising Managers,Internet browser software
11-3012.00,Administrative Services Managers,Desktop calculator
11-3012.00,Administrative Services Managers,Desktop computers
11-3012.00,Administrative Services Managers,Notebook computers
11-3012.00,Administrative Services Managers,Laser fax machine
11-3012.00,Administrative Services Managers,Mobile phones
11-3012.00,Administrative Services Managers,Special purpose telephones
11-3012.00,Administrative Services Managers,Personal computers
11-3012.00,Administrative Services Managers,Personal digital assistant PDAs or organizers
11-3012.00,Administrative Services Managers,Photocopiers
11-3012.00,Administrative Services Managers,Scanners
11-3012.00,Administrative Services Managers,Tablet computers
11-3012.00,Administrative Services Managers,Document management software
11-3012.00,Administrative Services Managers,Desktop publishing software
11-3012.00,Administrative Services Managers,Human resources software
11-3012.00,Administrative Services Managers,Content workflow software
11-3012.00,Administrative Services Managers,Computer aided design CAD software
11-3012.00,Administrative Services Managers,Customer relationship management CRM software
11-3012.00,Administrative Services Managers,Data base user interface and query software
11-3012.00,Administrative Services Managers,Financial analysis software
11-3012.00,Administrative Services Managers,Electronic mail software
11-3012.00,Administrative Services Managers,Accounting software
11-3012.00,Administrative Services Managers,Word processing software
11-3012.00,Administrative Services Managers,Cloud-based data access and sharing software
11-3012.00,Administrative Services Managers,Instant messaging software
11-3012.00,Administrative Services Managers,Enterprise system management software
11-3012.00,Administrative Services Managers,Analytical or scientific software
11-3012.00,Administrative Services Managers,Information retrieval or search software
11-3012.00,Administrative Services Managers,Web page creation and editing software
11-3012.00,Administrative Services Managers,Medical software
11-3012.00,Administrative Services Managers,Enterprise resource planning ERP software
11-3012.00,Administrative Services Managers,Spreadsheet software
11-3012.00,Administrative Services Managers,Internet browser software
11-3012.00,Administrative Services Managers,Office suite software
11-3012.00,Administrative Services Managers,Presentation software
11-3012.00,Administrative Services Managers,Project management software
11-3012.00,Administrative Services Managers,Process mapping and design software
11-3012.00,Administrative Services Managers,Operating system software
11-3012.00,Administrative Services Managers,Object or component oriented development software
11-3012.00,Administrative Services Managers,Data base reporting software
11-3012.00,Administrative Services Managers,Industrial control software
11-3012.00,Administrative Services Managers,Data base management system software
11-3013.00,Facilities Managers,Desktop calculator
11-3013.00,Facilities Managers,Desktop computers
11-3013.00,Facilities Managers,Notebook computers
11-3013.00,Facilities Managers,Laser fax machine
11-3013.00,Facilities Managers,Mobile phones
11-3013.00,Facilities Managers,Special purpose telephones
11-3013.00,Facilities Managers,Personal computers
11-3013.00,Facilities Managers,Photocopiers
11-3013.00,Facilities Managers,Scanners
11-3013.00,Facilities Managers,Tablet computers
11-3013.00,Facilities Managers,Document management software
11-3013.00,Facilities Managers,Desktop publishing software
11-3013.00,Facilities Managers,Human resources software
11-3013.00,Facilities Managers,Computer aided design CAD software
11-3013.00,Facilities Managers,Customer relationship management CRM software
11-3013.00,Facilities Managers,Financial analysis software
11-3013.00,Facilities Managers,Electronic mail software
11-3013.00,Facilities Managers,Data base user interface and query software
11-3013.00,Facilities Managers,Accounting software
11-3013.00,Facilities Managers,Word processing software
11-3013.00,Facilities Managers,Cloud-based data access and sharing software
11-3013.00,Facilities Managers,Office suite software
11-3013.00,Facilities Managers,Instant messaging software
11-3013.00,Facilities Managers,Enterprise resource planning ERP software
11-3013.00,Facilities Managers,Enterprise system management software
11-3013.00,Facilities Managers,Spreadsheet software
11-3013.00,Facilities Managers,Internet browser software
11-3013.00,Facilities Managers,Presentation software
11-3013.00,Facilities Managers,Project management software
11-3013.00,Facilities Managers,Process mapping and design software
11-3013.00,Facilities Managers,Operating system software
11-3013.00,Facilities Managers,Data base reporting software
11-3013.00,Facilities Managers,Industrial control software
11-3013.00,Facilities Managers,Data base management system software
11-3013.01,Security Managers,Motion detectors
11-3013.01,Security Managers,Laser printers
11-3013.01,Security Managers,Chemical agent detector
11-3013.01,Security Managers,Alarm systems
11-3013.01,Security Managers,Security or access control systems
11-3013.01,Security Managers,Notebook computers
11-3013.01,Security Managers,Special purpose telephones
11-3013.01,Security Managers,Personal computers
11-3013.01,Security Managers,Teleconference equipment
11-3013.01,Security Managers,Video monitors
11-3013.01,Security Managers,Videoconferencing systems
11-3013.01,Security Managers,Facilities management software
11-3013.01,Security Managers,Data base user interface and query software
11-3013.01,Security Managers,Office suite software
11-3013.01,Security Managers,Communications server software
11-3013.01,Security Managers,Web page creation and editing software
11-3013.01,Security Managers,Project management software
11-3013.01,Security Managers,Network security and virtual private network VPN equipment software
11-3013.01,Security Managers,Graphics or photo imaging software
11-3013.01,Security Managers,Human resources software
11-3013.01,Security Managers,Inventory management software
11-3013.01,Security Managers,Map creation software
11-3013.01,Security Managers,Transaction security and virus protection software
11-3013.01,Security Managers,Development environment software
11-3013.01,Security Managers,Spreadsheet software
11-3013.01,Security Managers,Electronic mail software
11-3013.01,Security Managers,Presentation software
11-3013.01,Security Managers,Process mapping and design software
11-3013.01,Security Managers,Word processing software
11-3013.01,Security Managers,Operating system software
11-3013.01,Security Managers,Enterprise resource planning ERP software
11-3013.01,Security Managers,Time accounting software
11-3013.01,Security Managers,Cloud-based data access and sharing software
11-3013.01,Security Managers,Instant messaging software
11-3013.01,Security Managers,Internet browser software
11-3013.01,Security Managers,Calendar and scheduling software
11-3021.00,Computer and Information Systems Managers,Access servers
11-3021.00,Computer and Information Systems Managers,Computer servers
11-3021.00,Computer and Information Systems Managers,Computer tool kits
11-3021.00,Computer and Information Systems Managers,Peripheral controller cards
11-3021.00,Computer and Information Systems Managers,Inkjet printers
11-3021.00,Computer and Information Systems Managers,Laser fax machine
11-3021.00,Computer and Information Systems Managers,Laser printers
11-3021.00,Computer and Information Systems Managers,Mainframe computers
11-3021.00,Computer and Information Systems Managers,Network analyzers
11-3021.00,Computer and Information Systems Managers,Network interface cards
11-3021.00,Computer and Information Systems Managers,Network routers
11-3021.00,Computer and Information Systems Managers,Network switches
11-3021.00,Computer and Information Systems Managers,Personal computers
11-3021.00,Computer and Information Systems Managers,Photocopiers
11-3021.00,Computer and Information Systems Managers,Print servers
11-3021.00,Computer and Information Systems Managers,Punches or nail sets or drifts
11-3021.00,Computer and Information Systems Managers,Integrated services digital network ISDN access devices
11-3021.00,Computer and Information Systems Managers,Screwdrivers
11-3021.00,Computer and Information Systems Managers,Teleconference equipment
11-3021.00,Computer and Information Systems Managers,High end computer servers
11-3021.00,Computer and Information Systems Managers,Customer relationship management CRM software
11-3021.00,Computer and Information Systems Managers,Desktop publishing software
11-3021.00,Computer and Information Systems Managers,Web platform development software
11-3021.00,Computer and Information Systems Managers,Object or component oriented development software
11-3021.00,Computer and Information Systems Managers,Data base management system software
11-3021.00,Computer and Information Systems Managers,Data base user interface and query software
11-3021.00,Computer and Information Systems Managers,Portal server software
11-3021.00,Computer and Information Systems Managers,Development environment software
11-3021.00,Computer and Information Systems Managers,Video creation and editing software
11-3021.00,Computer and Information Systems Managers,Presentation software
11-3021.00,Computer and Information Systems Managers,Spreadsheet software
11-3021.00,Computer and Information Systems Managers,Word processing software
11-3021.00,Computer and Information Systems Managers,Operating system software
11-3021.00,Computer and Information Systems Managers,Content workflow software
11-3021.00,Computer and Information Systems Managers,Accounting software
11-3021.00,Computer and Information Systems Managers,Software defined networking/ virtualization software
11-3021.00,Computer and Information Systems Managers,Access software
11-3021.00,Computer and Information Systems Managers,Office suite software
11-3021.00,Computer and Information Systems Managers,Transaction server software
11-3021.00,Computer and Information Systems Managers,Network monitoring software
11-3021.00,Computer and Information Systems Managers,Enterprise application integration software
11-3021.00,Computer and Information Systems Managers,Filesystem software
11-3021.00,Computer and Information Systems Managers,Network security and virtual private network VPN equipment software
11-3021.00,Computer and Information Systems Managers,Data mining software
11-3021.00,Computer and Information Systems Managers,Helpdesk or call center software
11-3021.00,Computer and Information Systems Managers,Human resources software
11-3021.00,Computer and Information Systems Managers,Business intelligence and data analysis software
11-3021.00,Computer and Information Systems Managers,Communications server software
11-3021.00,Computer and Information Systems Managers,Platform interconnectivity software
11-3021.00,Computer and Information Systems Managers,Enterprise system management software
11-3021.00,Computer and Information Systems Managers,Analytical or scientific software
11-3021.00,Computer and Information Systems Managers,Cloud-based management software
11-3021.00,Computer and Information Systems Managers,Enterprise resource planning ERP software
11-3021.00,Computer and Information Systems Managers,LAN software
11-3021.00,Computer and Information Systems Managers,Transaction security and virus protection software
11-3021.00,Computer and Information Systems Managers,Application server software
11-3021.00,Computer and Information Systems Managers,Calendar and scheduling software
11-3021.00,Computer and Information Systems Managers,Electronic mail software
11-3021.00,Computer and Information Systems Managers,Web page creation and editing software
11-3021.00,Computer and Information Systems Managers,Internet browser software
11-3021.00,Computer and Information Systems Managers,Network conferencing software
11-3021.00,Computer and Information Systems Managers,Project management software
11-3021.00,Computer and Information Systems Managers,Cloud-based data access and sharing software
11-3021.00,Computer and Information Systems Managers,Process mapping and design software
11-3021.00,Computer and Information Systems Managers,Object oriented data base management software
11-3021.00,Computer and Information Systems Managers,Wireless software
11-3021.00,Computer and Information Systems Managers,Financial analysis software
11-3021.00,Computer and Information Systems Managers,Configuration management software
11-3021.00,Computer and Information Systems Managers,Compliance software
11-3021.00,Computer and Information Systems Managers,Metadata management software
11-3021.00,Computer and Information Systems Managers,Data base reporting software
11-3021.00,Computer and Information Systems Managers,Cloud-based protection or security software
11-3021.00,Computer and Information Systems Managers,Network connectivity terminal emulation software
11-3021.00,Computer and Information Systems Managers,Graphical user interface development software
11-3021.00,Computer and Information Systems Managers,Requirements analysis and system architecture software
11-3021.00,Computer and Information Systems Managers,Backup or archival software
11-3021.00,Computer and Information Systems Managers,Clustering software
11-3031.00,Financial Managers,Desktop calculator
11-3031.00,Financial Managers,Desktop computers
11-3031.00,Financial Managers,Notebook computers
11-3031.00,Financial Managers,Personal computers
11-3031.00,Financial Managers,Personal digital assistant PDAs or organizers
11-3031.00,Financial Managers,Scanners
11-3031.00,Financial Managers,Tablet computers
11-3031.00,Financial Managers,Accounting software
11-3031.00,Financial Managers,Document management software
11-3031.00,Financial Managers,Human resources software
11-3031.00,Financial Managers,Business intelligence and data analysis software
11-3031.00,Financial Managers,Financial analysis software
11-3031.00,Financial Managers,Customer relationship management CRM software
11-3031.00,Financial Managers,Data base user interface and query software
11-3031.00,Financial Managers,Medical software
11-3031.00,Financial Managers,Electronic mail software
11-3031.00,Financial Managers,Enterprise system management software
11-3031.00,Financial Managers,Analytical or scientific software
11-3031.00,Financial Managers,Internet browser software
11-3031.00,Financial Managers,Information retrieval or search software
11-3031.00,Financial Managers,Sales and marketing software
11-3031.00,Financial Managers,Enterprise resource planning ERP software
11-3031.00,Financial Managers,Spreadsheet software
11-3031.00,Financial Managers,Office suite software
11-3031.00,Financial Managers,Presentation software
11-3031.00,Financial Managers,Project management software
11-3031.00,Financial Managers,Cloud-based data access and sharing software
11-3031.00,Financial Managers,Process mapping and design software
11-3031.00,Financial Managers,Development environment software
11-3031.00,Financial Managers,Operating system software
11-3031.00,Financial Managers,Word processing software
11-3031.00,Financial Managers,Object or component oriented development software
11-3031.00,Financial Managers,Data base reporting software
11-3031.00,Financial Managers,Compliance software
11-3031.00,Financial Managers,Data base management system software
